Brand,Model,Year,Price,Mileage,Exterior Color,Interior Color,Fuel Type,Drivetrain,VIN,Dealer Name,Dealer Zip,Bodystyle,Image Paths
Toyota,Highlander,2016,24998,87518,Black,BLACK,Gasoline,Four-wheel Drive,5TDDKRFH3GS315749,CarMax Hartford,06120,SUV,"['vehicle_images_more\\4fee70e9-4bda-4b39-917f-610633fc255b_1.jpg', 'vehicle_images_more\\4fee70e9-4bda-4b39-917f-610633fc255b_2.jpg', 'vehicle_images_more\\4fee70e9-4bda-4b39-917f-610633fc255b_3.jpg']"
Toyota,Camry Hybrid,2012,11995,129720,Gray,Gray,Hybrid,Front-wheel Drive,4T1BD1FKXCU018235,Car Corner,06040,Sedan,"['vehicle_images_more\\deb86378-4626-4267-a6cc-a9b575017183_1.jpg', 'vehicle_images_more\\deb86378-4626-4267-a6cc-a9b575017183_2.jpg', 'vehicle_images_more\\deb86378-4626-4267-a6cc-a9b575017183_3.jpg']"
Toyota,4Runner,2017,26997,99171,Super White,Black,Gasoline,Four-wheel Drive,JTEBU5JR7H5443618,Hitchcock Motor Car,06716,SUV,"['vehicle_images_more\\d5734380-3733-4614-9ee8-efd73b143be4_1.jpg', 'vehicle_images_more\\d5734380-3733-4614-9ee8-efd73b143be4_2.jpg', 'vehicle_images_more\\d5734380-3733-4614-9ee8-efd73b143be4_3.jpg']"
Toyota,4Runner,2015,23995,109900,Attitude Black Metallic,Black/Graphite,Gasoline,Four-wheel Drive,JTEBU5JR3F5209778,A Better Way Wholesale,06770,SUV,"['vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_1.jpg', 'vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_2.jpg', 'vehicle_images_more\\18f05ca9-8950-4218-a92f-f1fc654317d0_3.jpg']"
Toyota,4Runner,2011,15995,139900,Blizzard Pearl,Black,Gasoline,Four-wheel Drive,JTEBU5JR4B5045421,A Better Way Wholesale,06770,SUV,"['vehicle_images_more\\83a207f5-bf76-4522-be0a-4c9a5dc0de3f_1.jpg', 'vehicle_images_more\\83a207f5-bf76-4522-be0a-4c9a5dc0de3f_2.jpg', 'vehicle_images_more\\83a207f5-bf76-4522-be0a-4c9a5dc0de3f_3.jpg']"
Toyota,4Runner,2016,21995,115900,Barcelona Red Metallic,Black/Graphite,Gasoline,Four-wheel Drive,JTEBU5JR1G5316197,A Better Way Wholesale,06770,SUV,"['vehicle_images_more\\bc4b5222-3afe-4be4-81e5-b96e73be476b_1.jpg', 'vehicle_images_more\\bc4b5222-3afe-4be4-81e5-b96e73be476b_2.jpg', 'vehicle_images_more\\bc4b5222-3afe-4be4-81e5-b96e73be476b_3.jpg']"
Toyota,RAV4,2018,14995,115200,Black,Black,Gasoline,All-wheel Drive,2T3BFREVXJW778884,A Better Way Wholesale,06770,SUV,"['vehicle_images_more\\af525dd6-e757-4536-87e0-3471b91b049d_1.jpg', 'vehicle_images_more\\af525dd6-e757-4536-87e0-3471b91b049d_2.jpg', 'vehicle_images_more\\af525dd6-e757-4536-87e0-3471b91b049d_3.jpg']"
Toyota,Highlander,2018,25995,79864,Ooh La La Rouge Mica,Black,Gasoline,All-wheel Drive,5TDJZRFH0JS807290,J & M Automotive,06770,SUV,"['vehicle_images_more\\3509b050-579a-410e-b7af-e4ff3fd3ec0a_1.jpg', 'vehicle_images_more\\3509b050-579a-410e-b7af-e4ff3fd3ec0a_2.jpg', 'vehicle_images_more\\3509b050-579a-410e-b7af-e4ff3fd3ec0a_3.jpg']"
Toyota,RAV4,2018,21992,55381,Silver,Black,Gasoline,All-wheel Drive,JTMRFREV6JJ237604,Ron Bouchard Chrysler Dodge RAM,01420,SUV,"['vehicle_images_more\\dff99e90-1a84-4692-b238-3abc861716eb_1.jpg', 'vehicle_images_more\\dff99e90-1a84-4692-b238-3abc861716eb_2.jpg', 'vehicle_images_more\\dff99e90-1a84-4692-b238-3abc861716eb_3.jpg']"
Toyota,Sienna,2013,12801,142914,Black,Gray,Gasoline,All-wheel Drive,5TDDK3DC1DS069039,Gary-Jackson Motors,01507,Passenger Van,"['vehicle_images_more\\92f182fe-7901-48a0-a273-0aa24d19e7c5_1.jpg', 'vehicle_images_more\\92f182fe-7901-48a0-a273-0aa24d19e7c5_2.jpg', 'vehicle_images_more\\92f182fe-7901-48a0-a273-0aa24d19e7c5_3.jpg']"
